# name	module	support lane	owner
CHANNEL_ORDER	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_RADIUS	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_ROW	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_SHAPE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_SIZE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_STROKE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_TEXT	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_TOOLTIP	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_X	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_X2	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_Y	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_Y2	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
COMPOSITION_FACET	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
COMPOSITION_HORIZONTAL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
COMPOSITION_LAYER	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
COMPOSITION_VERTICAL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_BRUSH	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_CLICK_SELECT	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_HOVER	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_KEYBOARD	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_LASSO	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
INTERACTION_PAN_ZOOM	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_FILTER_BETWEEN	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_FILTER_GREATER	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_BIN	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_CALCULATE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_AGGREGATE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_GROUP	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_IMPUTE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_LIMIT	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
TRANSFORM_ROLLING_MEAN	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
