# name	kind	replacement	introduced	remove_after
DEMO_TAB_SOURCE_ID	moved	moxi_demo.DEMO_TAB_SOURCE_ID	0.6	never
DEMO_THEME_SHOWCASE_ID	moved	moxi_demo.DEMO_THEME_SHOWCASE_ID	0.6	never
DEMO_THEME_SHOWCASE_ID_OFFSET	moved	moxi_demo.DEMO_THEME_SHOWCASE_ID_OFFSET	0.6	never
DEMO_THEME_SHOWCASE_SLOT_ID	moved	moxi_demo.DEMO_THEME_SHOWCASE_SLOT_ID	0.6	never
DEMO_WALKTHROUGH_APPROVAL	moved	moxi_demo.DEMO_WALKTHROUGH_APPROVAL	0.6	never
DEMO_WALKTHROUGH_EVENT	moved	moxi_demo.DEMO_WALKTHROUGH_EVENT	0.6	never
DEMO_WRAPPED_ID	moved	moxi_demo.DEMO_WRAPPED_ID	0.6	never
DEMO_WX_STYLE_ID	moved	moxi_demo.DEMO_WX_STYLE_ID	0.6	never
DEMO_WX_STYLE_ID_OFFSET	moved	moxi_demo.DEMO_WX_STYLE_ID_OFFSET	0.6	never
DemoBrowserState	moved	moxi_demo.DemoBrowserState	0.6	never
DemoCatalog	moved	moxi_demo.DemoCatalog	0.6	never
DemoEntry	moved	moxi_demo.DemoEntry	0.6	never
DemoWalkthroughAction	moved	moxi_demo.DemoWalkthroughAction	0.6	never
DemoWalkthroughDriver	moved	moxi_demo.DemoWalkthroughDriver	0.6	never
DemoWalkthroughHandler	moved	moxi_demo.DemoWalkthroughHandler	0.6	never
INTERACTION_BRUSH	moved	moxi_plot.INTERACTION_BRUSH	0.6	never
INTERACTION_CLICK_SELECT	moved	moxi_plot.INTERACTION_CLICK_SELECT	0.6	never
INTERACTION_HOVER	moved	moxi_plot.INTERACTION_HOVER	0.6	never
INTERACTION_KEYBOARD	moved	moxi_plot.INTERACTION_KEYBOARD	0.6	never
INTERACTION_LASSO	moved	moxi_plot.INTERACTION_LASSO	0.6	never
INTERACTION_PAN_ZOOM	moved	moxi_plot.INTERACTION_PAN_ZOOM	0.6	never
PLOT_ARC_DIAGRAM	moved	moxi_plot.PLOT_ARC_DIAGRAM	0.6	never
PLOT_AREA	moved	moxi_plot.PLOT_AREA	0.6	never
PLOT_BAND	moved	moxi_plot.PLOT_BAND	0.6	never
PLOT_BAR	moved	moxi_plot.PLOT_BAR	0.6	never
PLOT_BARBS	moved	moxi_plot.PLOT_BARBS	0.6	never
PLOT_BEESWARM	moved	moxi_plot.PLOT_BEESWARM	0.6	never
PLOT_BOX	moved	moxi_plot.PLOT_BOX	0.6	never
PLOT_BUBBLE	moved	moxi_plot.PLOT_BUBBLE	0.6	never
PLOT_BULLET	moved	moxi_plot.PLOT_BULLET	0.6	never
